127.0.0.1 - - [31/Oct/2021:12:59:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Oct/2021:12:59:52 +0530] "GET /ORS_4/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [31/Oct/2021:13:39:11 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [31/Oct/2021:13:41:51 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [31/Oct/2021:13:42:15 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [31/Oct/2021:13:44:11 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [31/Oct/2021:13:56:12 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:06:30 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:06:30 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:29:14 +0530] "GET /ORS_4/ctl/MyProfileCtl HTTP/1.1" 200 6595
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:47:56 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:47:58 +0530] "GET /ORS_4/LoginCtl?operation=logout HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:04 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:06 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:06 +0530] "GET /ORS_4/UserRegistrationCtl HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:13 +0530] "POST /ORS_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:13 +0530] "GET /ORS_4/UserRegistrationCtl HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:16 +0530] "POST /ORS_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:16 +0530] "GET /ORS_4/UserRegistrationCtl HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:19 +0530] "POST /ORS_4/UserRegistrationCtl HTTP/1.1" 200 6421
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:27 +0530] "GET /ORS_4/UserRegistrationCtl HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:31 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [31/Oct/2021:14:51:35 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 200 3413
