127.0.0.1 - - [22/Dec/2021:12:09:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:09 +0530] "GET /ORS_4/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:11 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:14 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:25 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:25 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:27 +0530] "GET /ORS_4/LoginCtl?operation=logout HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:29 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:31 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:31 +0530] "GET /ORS_4/UserRegistrationCtl HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:09:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:10:27 +0530] "POST /ORS_4/UserRegistrationCtl HTTP/1.1" 200 5802
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:10:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:11:02 +0530] "POST /ORS_4/UserRegistrationCtl HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:11:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:11:27 +0530] "POST /ORS_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:11:27 +0530] "GET /ORS_4/UserRegistrationCtl HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:11:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:11:41 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:12:13 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:12:13 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:12:21 +0530] "GET /ORS_4/ctl/MyProfileCtl HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:13:04 +0530] "POST /ORS_4/ctl/MyProfileCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:12:13:05 +0530] "GET /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 200 5211
